mode,k,repeat,generated_tokens,generate_ms,ttft_ms,tpot_ms,throughput_tps,output
baseline,,1,64,10856.6494140625,1397.8409423828125,150.1313018798828,6.660836219787598,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
baseline,,2,64,11018.0341796875,1501.660888671875,151.04469299316406,6.620556831359863,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
baseline,,3,64,11470.443359375,1564.732177734375,157.22372436523438,6.360363483428955,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
static_sd,2,1,64,12446.38671875,1620.1378173828125,171.83460998535156,5.819549560546875,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
static_sd,2,2,64,13349.0302734375,1661.180419921875,185.51171875,5.3904948234558105,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
static_sd,2,3,64,13002.6572265625,1714.776123046875,179.16249084472656,5.5815253257751465,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
static_sd,3,1,64,14159.3857421875,1757.5357666015625,196.8445587158203,5.080150604248047,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
static_sd,3,2,64,14152.5888671875,1734.4603271484375,197.10110473632812,5.073538303375244,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
static_sd,3,3,64,14226.4248046875,1780.1002197265625,197.54811096191406,5.062057971954346,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
static_sd,5,1,64,17883.83984375,1762.647705078125,255.8809051513672,3.9080681800842285,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
static_sd,5,2,64,19335.236328125,1755.4298095703125,279.0342102050781,3.5837900638580322,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
static_sd,5,3,64,20006.03515625,1893.2386474609375,287.4942321777344,3.478330612182617,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
static_sd,8,1,64,22309.83984375,2014.3385009765625,322.13555908203125,3.104283094406128,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
static_sd,8,2,64,23126.81640625,2081.366455078125,334.0431213378906,2.9936254024505615,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
static_sd,8,3,64,24082.712890625,2153.578857421875,348.0696716308594,2.872987985610962,"1. Drafting: The first step in speculative decoding is to draft a hypothesis or theory that explains the observed data. This hypothesis should be based on the available evidence and should be testable.
2. Target Verification: The next step is to verify the target of the hypothesis. This involves checking the data against the hypothesis"
